Ticker,Company
AAPL,Apple Inc.
NFLX,"Netflix, Inc."
AMZN,"Amazon.com, Inc."
MSFT,Microsoft Corporation
GOOG,Alphabet Inc.
TSLA,"Tesla Motors, Inc."
FB,"Facebook, Inc."
AAP,Advance Auto Parts Inc.
DIS,The Walt Disney Company
NKE,"NIKE, Inc."
UA,"Under Armour, Inc."
BAC,Bank of America Corporation
CCL,Carnival Corporation
CI,Cigna Corp.
AAL,American Airlines Group Inc.
LUV,Southwest Airlines Co.
WFC,Wells Fargo & Company
WMT,Wal-Mart Stores Inc.
HD,"The Home Depot, Inc."
ORCL,Oracle Corporation
IBM,International Business Machines Corporation
NCLH,Norwegian Cruise Line Holdings Ltd.
RCL,Royal Caribbean Cruises Ltd.
TWX,Time Warner Inc.
FOX,"Twenty-First Century Fox, Inc."
F,Ford Motor Co.
GCI,"Gannett Co., Inc."
XOM,Exxon Mobil Corporation
WWE,World Wrestling Entertainment Inc.
WM,"Waste Management, Inc."