,Area,Item,Element,Year,Months,Unit,Value
304,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,1832.2
305,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,1470.6
306,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,1609.5
307,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,1519.0
308,Finland,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1945.3
309,Finland,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1904.3
310,Finland,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1722.6
311,Finland,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1589.3
312,Finland,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1821.1
313,Finland,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1786.0
314,Finland,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2007.5
315,Finland,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1930.4
316,Finland,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1503.9
317,Finland,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1452.4
318,Finland,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1457.1
319,Finland,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1554.6
320,France,Apples,Producer Price (USD/tonne),2008,Annual value,USD,707.1
321,France,Apples,Producer Price (USD/tonne),2009,Annual value,USD,574.4
322,France,Apples,Producer Price (USD/tonne),2010,Annual value,USD,639.9
323,France,Apples,Producer Price (USD/tonne),2011,Annual value,USD,616.2
324,France,Apples,Producer Price (USD/tonne),2012,Annual value,USD,837.3
325,France,Apples,Producer Price (USD/tonne),2013,Annual value,USD,831.8
326,France,Apples,Producer Price (USD/tonne),2014,Annual value,USD,691.2
327,France,Apples,Producer Price (USD/tonne),2015,Annual value,USD,628.8
328,France,Apples,Producer Price (USD/tonne),2016,Annual value,USD,664.1
329,France,Apples,Producer Price (USD/tonne),2017,Annual value,USD,661.6
330,France,Apples,Producer Price (USD/tonne),2018,Annual value,USD,763.2
331,France,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1091.2
332,France,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,927.5
333,France,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,954.9
334,France,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,820.3
335,France,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,905.9
336,France,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1032.0
337,France,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,890.7
338,France,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,815.9
339,France,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,855.7
340,France,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,793.9
341,France,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,951.7
342,France,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2215.1
343,France,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1932.6
344,France,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1847.1
345,France,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,2193.1
346,France,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,2068.3
347,France,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2265.9
348,France,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,2107.6
349,France,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1705.4
350,France,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1684.4
351,France,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1701.5
352,France,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1777.1
353,France,Soybeans,Producer Price (USD/tonne),2008,Annual value,USD,568.7
354,France,Soybeans,Producer Price (USD/tonne),2009,Annual value,USD,447.2
355,France,Soybeans,Producer Price (USD/tonne),2010,Annual value,USD,552.1
356,France,Soybeans,Producer Price (USD/tonne),2011,Annual value,USD,504.9
357,France,Soybeans,Producer Price (USD/tonne),2012,Annual value,USD,595.9
358,France,Soybeans,Producer Price (USD/tonne),2013,Annual value,USD,590.9
359,France,Soybeans,Producer Price (USD/tonne),2014,Annual value,USD,475.7
360,France,Soybeans,Producer Price (USD/tonne),2015,Annual value,USD,385.3
361,France,Soybeans,Producer Price (USD/tonne),2016,Annual value,USD,380.2
362,France,Soybeans,Producer Price (USD/tonne),2017,Annual value,USD,390.9
363,France,Soybeans,Producer Price (USD/tonne),2018,Annual value,USD,383.7
364,Germany,Apples,Producer Price (USD/tonne),2008,Annual value,USD,742.7
365,Germany,Apples,Producer Price (USD/tonne),2009,Annual value,USD,529.3
366,Germany,Apples,Producer Price (USD/tonne),2010,Annual value,USD,535.1
367,Germany,Apples,Producer Price (USD/tonne),2011,Annual value,USD,683.9
368,Germany,Apples,Producer Price (USD/tonne),2012,Annual value,USD,609.0
369,Germany,Apples,Producer Price (USD/tonne),2013,Annual value,USD,794.0
370,Germany,Apples,Producer Price (USD/tonne),2014,Annual value,USD,598.4
371,Germany,Apples,Producer Price (USD/tonne),2015,Annual value,USD,448.1
372,Germany,Apples,Producer Price (USD/tonne),2016,Annual value,USD,495.6
373,Germany,Apples,Producer Price (USD/tonne),2017,Annual value,USD,629.9
374,Germany,Apples,Producer Price (USD/tonne),2018,Annual value,USD,801.5
375,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,486.3
376,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,327.8
377,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,280.8
378,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,262.7
379,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,630.9
380,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,711.7
381,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,591.7
382,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,651.0
383,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,659.3
384,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,557.8
385,Germany,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,753.1
386,Germany,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1510.5
387,Germany,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1448.0
388,Germany,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1455.9
389,Germany,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1563.2
390,Greece,Apples,Producer Price (USD/tonne),2008,Annual value,USD,970.3
391,Greece,Apples,Producer Price (USD/tonne),2009,Annual value,USD,933.8
392,Greece,Apples,Producer Price (USD/tonne),2010,Annual value,USD,811.0
393,Greece,Apples,Producer Price (USD/tonne),2011,Annual value,USD,868.8
394,Greece,Apples,Producer Price (USD/tonne),2012,Annual value,USD,814.1
395,Greece,Apples,Producer Price (USD/tonne),2013,Annual value,USD,848.2
396,Greece,Apples,Producer Price (USD/tonne),2014,Annual value,USD,826.3
397,Greece,Apples,Producer Price (USD/tonne),2015,Annual value,USD,669.1
398,Greece,Apples,Producer Price (USD/tonne),2016,Annual value,USD,616.8
399,Greece,Apples,Producer Price (USD/tonne),2017,Annual value,USD,657.0
400,Greece,Apples,Producer Price (USD/tonne),2018,Annual value,USD,765.7
401,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,826.3
402,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,780.0
403,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,749.3
404,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,744.0
405,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,685.6
406,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,745.9
407,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,706.9
408,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,642.9
409,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,574.6
410,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,625.1
411,Greece,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,711.3
412,Greece,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2534.1
413,Greece,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,2597.8
414,Greece,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,2516.4
415,Greece,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,2877.6
416,Greece,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,3096.5
417,Greece,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2363.4
418,Greece,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,2929.4
419,Greece,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1940.9
420,Greece,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1670.3
421,Greece,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,2050.9
422,Hungary,Apples,Producer Price (USD/tonne),2008,Annual value,USD,101.3
423,Hungary,Apples,Producer Price (USD/tonne),2009,Annual value,USD,63.9
424,Hungary,Apples,Producer Price (USD/tonne),2010,Annual value,USD,157.9
425,Hungary,Apples,Producer Price (USD/tonne),2011,Annual value,USD,188.7
426,Hungary,Apples,Producer Price (USD/tonne),2012,Annual value,USD,146.2
427,Hungary,Apples,Producer Price (USD/tonne),2013,Annual value,USD,151.3
428,Hungary,Apples,Producer Price (USD/tonne),2014,Annual value,USD,73.9
429,Hungary,Apples,Producer Price (USD/tonne),2015,Annual value,USD,144.6
430,Hungary,Apples,Producer Price (USD/tonne),2016,Annual value,USD,96.1
431,Hungary,Apples,Producer Price (USD/tonne),2017,Annual value,USD,220.9
432,Hungary,Apples,Producer Price (USD/tonne),2018,Annual value,USD,97.6
433,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,609.9
434,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,532.6
435,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,486.5
436,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,434.8
437,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,483.0
438,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,554.0
439,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,508.6
440,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,451.9
441,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,455.4
442,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,509.5
443,Hungary,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,646.6
444,Hungary,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1899.6
445,Hungary,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1498.2
446,Hungary,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1447.2
447,Hungary,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1748.7
448,Hungary,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1696.5
449,Hungary,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1838.0
450,Hungary,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1933.0
451,Hungary,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1537.7
452,Hungary,Soybeans,Producer Price (USD/tonne),2008,Annual value,USD,437.7
453,Hungary,Soybeans,Producer Price (USD/tonne),2009,Annual value,USD,366.2
454,Hungary,Soybeans,Producer Price (USD/tonne),2010,Annual value,USD,422.7
455,Hungary,Soybeans,Producer Price (USD/tonne),2011,Annual value,USD,476.9
456,Hungary,Soybeans,Producer Price (USD/tonne),2012,Annual value,USD,575.9
457,Hungary,Soybeans,Producer Price (USD/tonne),2013,Annual value,USD,568.8
458,Hungary,Soybeans,Producer Price (USD/tonne),2014,Annual value,USD,463.6
459,Hungary,Soybeans,Producer Price (USD/tonne),2015,Annual value,USD,365.6
460,Hungary,Soybeans,Producer Price (USD/tonne),2016,Annual value,USD,374.0
461,Hungary,Soybeans,Producer Price (USD/tonne),2017,Annual value,USD,405.9
462,Hungary,Soybeans,Producer Price (USD/tonne),2018,Annual value,USD,399.0
463,Ireland,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1664.0
464,Ireland,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1581.8
465,Ireland,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1520.4
466,Ireland,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1726.7
467,Ireland,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1645.8
468,Italy,Apples,Producer Price (USD/tonne),2008,Annual value,USD,661.5
469,Italy,Apples,Producer Price (USD/tonne),2009,Annual value,USD,556.6
470,Italy,Apples,Producer Price (USD/tonne),2010,Annual value,USD,535.1
471,Italy,Apples,Producer Price (USD/tonne),2011,Annual value,USD,514.9
472,Italy,Apples,Producer Price (USD/tonne),2012,Annual value,USD,619.3
473,Italy,Apples,Producer Price (USD/tonne),2013,Annual value,USD,764.8
474,Italy,Apples,Producer Price (USD/tonne),2014,Annual value,USD,581.5
475,Italy,Apples,Producer Price (USD/tonne),2015,Annual value,USD,490.0
476,Italy,Apples,Producer Price (USD/tonne),2016,Annual value,USD,597.3
477,Italy,Apples,Producer Price (USD/tonne),2017,Annual value,USD,608.4
478,Italy,Apples,Producer Price (USD/tonne),2018,Annual value,USD,790.9
479,Italy,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2239.4
480,Italy,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,2040.6
481,Italy,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1854.0
482,Italy,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,2203.6
483,Italy,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,2083.2
484,Italy,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2358.8
485,Italy,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,2233.5
486,Italy,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,2118.3
487,Latvia,Apples,Producer Price (USD/tonne),2008,Annual value,USD,418.0
488,Latvia,Apples,Producer Price (USD/tonne),2009,Annual value,USD,300.7
489,Latvia,Apples,Producer Price (USD/tonne),2010,Annual value,USD,490.1
490,Latvia,Apples,Producer Price (USD/tonne),2011,Annual value,USD,381.1
491,Latvia,Apples,Producer Price (USD/tonne),2012,Annual value,USD,510.2
492,Latvia,Apples,Producer Price (USD/tonne),2013,Annual value,USD,304.1
493,Latvia,Apples,Producer Price (USD/tonne),2014,Annual value,USD,424.6
494,Latvia,Apples,Producer Price (USD/tonne),2015,Annual value,USD,369.3
495,Latvia,Apples,Producer Price (USD/tonne),2016,Annual value,USD,403.7
496,Latvia,Apples,Producer Price (USD/tonne),2017,Annual value,USD,557.8
497,Latvia,Apples,Producer Price (USD/tonne),2018,Annual value,USD,704.7
498,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1258.3
499,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,1137.4
500,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,1176.3
501,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,1129.2
502,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,1360.5
503,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1507.4
504,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,1448.8
505,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,1309.8
506,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,1570.7
507,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,1570.9
508,Latvia,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1881.5
509,Latvia,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,2738.4
510,Latvia,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,2365.4
511,Latvia,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,2013.4
512,Latvia,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,2227.9
513,Latvia,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,2074.9
514,Latvia,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,2348.1
515,Latvia,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,2483.6
516,Latvia,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1863.2
517,Latvia,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1879.4
518,Latvia,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1584.4
519,Latvia,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,2066.8
520,Lithuania,Apples,Producer Price (USD/tonne),2008,Annual value,USD,579.8
521,Lithuania,Apples,Producer Price (USD/tonne),2009,Annual value,USD,353.4
522,Lithuania,Apples,Producer Price (USD/tonne),2010,Annual value,USD,477.5
523,Lithuania,Apples,Producer Price (USD/tonne),2011,Annual value,USD,624.5
524,Lithuania,Apples,Producer Price (USD/tonne),2012,Annual value,USD,513.9
525,Lithuania,Apples,Producer Price (USD/tonne),2013,Annual value,USD,447.1
526,Lithuania,Apples,Producer Price (USD/tonne),2014,Annual value,USD,554.8
527,Lithuania,Apples,Producer Price (USD/tonne),2015,Annual value,USD,444.4
528,Lithuania,Apples,Producer Price (USD/tonne),2016,Annual value,USD,405.8
529,Lithuania,Apples,Producer Price (USD/tonne),2017,Annual value,USD,441.6
530,Lithuania,Apples,Producer Price (USD/tonne),2018,Annual value,USD,546.2
531,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,1238.8
532,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,839.0
533,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,939.3
534,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,956.8
535,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,1171.5
536,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2013,Annual value,USD,1166.5
537,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2014,Annual value,USD,1192.2
538,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2015,Annual value,USD,977.3
539,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2016,Annual value,USD,1028.4
540,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2017,Annual value,USD,993.6
541,Lithuania,Cucumbers and gherkins,Producer Price (USD/tonne),2018,Annual value,USD,1224.5
542,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1884.8
543,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1472.5
544,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1411.2
545,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1696.5
546,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1599.8
547,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1737.5
548,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1595.9
549,Lithuania,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1331.9
550,Luxembourg,Apples,Producer Price (USD/tonne),2008,Annual value,USD,1757.8
551,Luxembourg,Apples,Producer Price (USD/tonne),2009,Annual value,USD,1625.4
552,Luxembourg,Apples,Producer Price (USD/tonne),2010,Annual value,USD,1642.3
553,Luxembourg,Apples,Producer Price (USD/tonne),2011,Annual value,USD,1723.8
554,Luxembourg,Apples,Producer Price (USD/tonne),2012,Annual value,USD,1715.3
555,Luxembourg,Apples,Producer Price (USD/tonne),2013,Annual value,USD,1858.8
556,Luxembourg,Apples,Producer Price (USD/tonne),2014,Annual value,USD,1724.8
557,Luxembourg,Apples,Producer Price (USD/tonne),2015,Annual value,USD,1525.0
558,Luxembourg,Apples,Producer Price (USD/tonne),2016,Annual value,USD,1526.5
559,Luxembourg,Apples,Producer Price (USD/tonne),2017,Annual value,USD,1605.8
560,Luxembourg,Apples,Producer Price (USD/tonne),2018,Annual value,USD,1652.5
561,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,9796.0
562,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,5723.5
563,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,5456.6
564,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,6130.5
565,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,6424.3
566,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,7169.8
567,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,7204.2
568,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,5379.0
569,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,5055.1
570,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,5352.7
571,Luxembourg,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,5497.6
572,Malta,Apples,Producer Price (USD/tonne),2008,Annual value,USD,511.1
573,Malta,Apples,Producer Price (USD/tonne),2009,Annual value,USD,499.1
574,Malta,Apples,Producer Price (USD/tonne),2010,Annual value,USD,456.9
575,Malta,Apples,Producer Price (USD/tonne),2011,Annual value,USD,481.9
576,Malta,Apples,Producer Price (USD/tonne),2012,Annual value,USD,613.5
577,Malta,Apples,Producer Price (USD/tonne),2013,Annual value,USD,567.3
578,Malta,Apples,Producer Price (USD/tonne),2014,Annual value,USD,528.7
579,Malta,Apples,Producer Price (USD/tonne),2015,Annual value,USD,497.2
580,Malta,Apples,Producer Price (USD/tonne),2016,Annual value,USD,508.7
581,Malta,Apples,Producer Price (USD/tonne),2017,Annual value,USD,479.8
582,Malta,Apples,Producer Price (USD/tonne),2018,Annual value,USD,519.4
583,Malta,"Meat, chicken",Producer Price (USD/tonne),2008,Annual value,USD,1582.0
584,Malta,"Meat, chicken",Producer Price (USD/tonne),2009,Annual value,USD,1645.1
585,Malta,"Meat, chicken",Producer Price (USD/tonne),2010,Annual value,USD,1573.4
586,Malta,"Meat, chicken",Producer Price (USD/tonne),2011,Annual value,USD,1761.1
587,Malta,"Meat, chicken",Producer Price (USD/tonne),2012,Annual value,USD,1638.7
588,Malta,"Meat, chicken",Producer Price (USD/tonne),2013,Annual value,USD,1742.8
589,Malta,"Meat, chicken",Producer Price (USD/tonne),2014,Annual value,USD,1656.5
590,Malta,"Meat, chicken",Producer Price (USD/tonne),2015,Annual value,USD,1335.7
591,Malta,"Meat, chicken",Producer Price (USD/tonne),2016,Annual value,USD,1326.9
592,Malta,"Meat, chicken",Producer Price (USD/tonne),2017,Annual value,USD,1338.4
593,Malta,"Meat, chicken",Producer Price (USD/tonne),2018,Annual value,USD,1414.1
594,Netherlands,Apples,Producer Price (USD/tonne),2008,Annual value,USD,771.0
595,Netherlands,Apples,Producer Price (USD/tonne),2009,Annual value,USD,507.1
596,Netherlands,Apples,Producer Price (USD/tonne),2010,Annual value,USD,579.8
597,Netherlands,Apples,Producer Price (USD/tonne),2011,Annual value,USD,745.9
598,Netherlands,Apples,Producer Price (USD/tonne),2012,Annual value,USD,753.2
599,Netherlands,Apples,Producer Price (USD/tonne),2013,Annual value,USD,983.8
600,Netherlands,Apples,Producer Price (USD/tonne),2014,Annual value,USD,730.4
601,Netherlands,Apples,Producer Price (USD/tonne),2015,Annual value,USD,532.3
602,Netherlands,Apples,Producer Price (USD/tonne),2016,Annual value,USD,538.4
603,Netherlands,Apples,Producer Price (USD/tonne),2017,Annual value,USD,776.4
604,Netherlands,Apples,Producer Price (USD/tonne),2018,Annual value,USD,1008.9
605,Netherlands,Cucumbers and gherkins,Producer Price (USD/tonne),2008,Annual value,USD,765.5
606,Netherlands,Cucumbers and gherkins,Producer Price (USD/tonne),2009,Annual value,USD,690.3
607,Netherlands,Cucumbers and gherkins,Producer Price (USD/tonne),2010,Annual value,USD,838.0
608,Netherlands,Cucumbers and gherkins,Producer Price (USD/tonne),2011,Annual value,USD,572.6
609,Netherlands,Cucumbers and gherkins,Producer Price (USD/tonne),2012,Annual value,USD,659.3
